ID,Subscription_Boxes,Magazine_Subscriptions,Digital_Music,Gift_Cards,Health_and_Personal_Care,Handmade_Products,All_Beauty,ml-100k,ml-1m,epinions,ModCloth
Random,0.0088,0.0014,0.0001,0.0038,0,0,0.0001,0.0068,0.0053,0.0001,0.003
Pop,0.0661,0.0565,0.0021,0.1502,0.017,0.0042,0.007,0.1032,0.1249,0.0039,0.0348
ItemKNN,0.0696,0.0313,0.0049,0.0492,0.0052,0.0044,0.0021,0.2834,0.2563,0.0017,0.0715
BPR,0.0323,0.0214,0.0042,0.0766,0.0049,0.0016,0.0022,0.2928,0.2554,0.0074,0.0562
ENMF,0.0762,0.0328,0.0025,0.1071,0.0102,0.0026,0.004,0.0563,0.0178,0.0053,0.0591
DMF,0.1605,0.0761,0.0014,0.2565,0.0085,0.0015,0.0035,0.2704,0.2391,0.0028,0.079
NNCF,0.1622,0.0741,0.0048,0.2549,0.0033,0.0009,0.001,0.2705,0.2431,0.0074,0.078
MultiDAE,0.1454,0.0712,0.0098,0.2908,0.0039,0.0038,0.0034,0.2848,0.2632,0.0083,0.1196
MultiVAE,0.1563,0.0706,0.0107,0.285,0.0086,0.0062,0.0031,0.2939,0.2483,0.0087,0.1229
NCEPLRec,0.0238,0.0087,0.0064,0.0036,0.0028,0.003,0.002,0.1485,0.2389,0.0049,0.0178
RecVAE,0.1331,0.101,0.008,0.2421,0.0025,0.0062,0.0024,0.2956,0.2911,0.0084,0.1276
CDAE,0.0022,0.0792,0.0029,0.2583,0.0162,0.0041,0.0064,0.1404,0.2204,0.0047,0.0837
LINE,0.014,0.0226,0.0045,0.0959,0.0043,0.0017,0.0026,0.2584,0.2316,0.0066,0.0519
SGL,0.0351,0.0661,0.0114,0.2013,0.0078,0.0042,0.0032,0.2907,0.2674,0.0096,0.0998
DiffRec,0.1466,0.0737,0.007,0.2502,0.0106,0.0033,0.0033,0.3182,0.2996,0.0051,0.106
RaCT,0.1231,0.104,0.0104,0.2674,0.0134,0.0087,0.0075,0.2971,0.2455,0.0092,0.123
SimpleX,0.0096,0.0058,0.0067,0.1006,0.0008,0.0043,0.0024,0.2797,0.2484,0.007,0.0949
