ID,Subscription_Boxes,Magazine_Subscriptions,Digital_Music,Gift_Cards,Health_and_Personal_Care,Handmade_Products,All_Beauty,ml-100k,ml-1m,epinions,ModCloth
Random,0.0175,0.0031,0.0003,0.0085,0.0001,0.0001,0.0002,0.0541,0.0465,0.0003,0.0066
Pop,0.1608,0.1053,0.0046,0.3286,0.0364,0.0085,0.0131,0.4719,0.4987,0.0073,0.0736
ItemKNN,0.1661,0.069,0.0097,0.1287,0.0071,0.0087,0.0042,0.7847,0.7424,0.003,0.1324
BPR,0.0629,0.0392,0.0078,0.154,0.0098,0.003,0.0043,0.7815,0.7419,0.0094,0.1008
ENMF,0.1416,0.0698,0.0043,0.2039,0.0208,0.0054,0.008,0.3097,0.1351,0.0087,0.109
DMF,0.25,0.1472,0.0033,0.4622,0.0146,0.0035,0.0079,0.7635,0.725,0.0057,0.1552
NNCF,0.25,0.1501,0.0084,0.4566,0.0061,0.0017,0.0022,0.754,0.7149,0.0094,0.151
MultiDAE,0.2168,0.1529,0.0143,0.4822,0.0071,0.0064,0.0057,0.7869,0.7694,0.0109,0.2108
MultiVAE,0.2517,0.152,0.0157,0.4757,0.0164,0.0103,0.0054,0.8049,0.7414,0.0114,0.2179
NCEPLRec,0.0385,0.0142,0.0114,0.008,0.0052,0.0044,0.0032,0.5557,0.7725,0.0087,0.0236
RecVAE,0.2413,0.1876,0.015,0.4016,0.0048,0.0098,0.0045,0.7911,0.794,0.011,0.2254
CDAE,0.007,0.157,0.0071,0.4629,0.0364,0.008,0.012,0.5249,0.6767,0.0091,0.1642
LINE,0.0297,0.0445,0.0082,0.1746,0.0074,0.0035,0.0052,0.7413,0.7151,0.008,0.0918
SGL,0.0752,0.134,0.0179,0.3487,0.0144,0.0071,0.0063,0.7879,0.7634,0.0138,0.1771
DiffRec,0.2185,0.1419,0.0136,0.4398,0.0213,0.0059,0.0067,0.8165,0.8033,0.0091,0.1889
RaCT,0.2115,0.1957,0.0163,0.4795,0.0261,0.0147,0.013,0.7996,0.7709,0.0127,0.2192
SimpleX,0.0227,0.0128,0.0132,0.1813,0.0018,0.0076,0.0045,0.7614,0.732,0.0086,0.1623
