ID,Subscription_Boxes,Magazine_Subscriptions,Digital_Music,Gift_Cards,Health_and_Personal_Care,Handmade_Products,All_Beauty,ml-100k,ml-1m,epinions,ModCloth
Random,0.0062,0.0009,0,0.0024,0,0,0,0.0157,0.0143,0.0001,0.0019
Pop,0.039,0.042,0.0014,0.0966,0.0112,0.0029,0.0052,0.1979,0.2492,0.0029,0.0233
ItemKNN,0.0416,0.02,0.0035,0.0261,0.0046,0.0032,0.0015,0.4623,0.4467,0.0014,0.053
BPR,0.0231,0.0161,0.0032,0.0534,0.0034,0.0012,0.0016,0.4895,0.4439,0.0068,0.0429
ENMF,0.0564,0.0217,0.0019,0.0778,0.0071,0.0018,0.0029,0.1206,0.0436,0.0043,0.0443
DMF,0.1325,0.0546,0.0008,0.1926,0.0067,0.0009,0.0022,0.4445,0.4175,0.0019,0.0563
NNCF,0.1344,0.0511,0.0038,0.1922,0.0025,0.0006,0.0007,0.4577,0.4322,0.0069,0.0561
MultiDAE,0.1227,0.0469,0.0086,0.2314,0.003,0.003,0.0027,0.4735,0.4534,0.0076,0.0921
MultiVAE,0.1264,0.0463,0.0092,0.2258,0.0063,0.005,0.0024,0.4909,0.434,0.0079,0.0943
NCEPLRec,0.0192,0.0071,0.0049,0.0023,0.0021,0.0025,0.0016,0.2843,0.4402,0.0038,0.0162
RecVAE,0.0995,0.0747,0.006,0.1932,0.0019,0.0051,0.0018,0.4924,0.4889,0.0076,0.098
CDAE,0.0009,0.0559,0.0017,0.1945,0.0103,0.0029,0.0047,0.2819,0.4072,0.0034,0.0597
LINE,0.0093,0.016,0.0035,0.072,0.0033,0.0012,0.0018,0.4343,0.4142,0.0062,0.0401
SGL,0.0228,0.0457,0.0095,0.156,0.0058,0.0033,0.0023,0.4837,0.4653,0.0084,0.0765
DiffRec,0.1239,0.0531,0.0052,0.1905,0.0075,0.0026,0.0023,0.5242,0.506,0.004,0.0811
RaCT,0.0967,0.0763,0.0087,0.2012,0.0096,0.0068,0.0059,0.4882,0.424,0.0082,0.094
SimpleX,0.0056,0.0038,0.005,0.0761,0.0006,0.0033,0.0018,0.4647,0.4438,0.0065,0.0746
