ID,Subscription_Boxes,Magazine_Subscriptions,Digital_Music,Gift_Cards,Health_and_Personal_Care,Handmade_Products,All_Beauty,ml-100k,ml-1m,epinions,ModCloth
Random,0.0017,0.0003,0,0.0008,0,0,0,0.0058,0.0049,0,0.0007
Pop,0.0161,0.0105,0.0005,0.0329,0.0036,0.0009,0.0013,0.0828,0.1025,0.0007,0.0074
ItemKNN,0.0166,0.0069,0.001,0.0129,0.0007,0.0009,0.0004,0.1931,0.1986,0.0003,0.0132
BPR,0.0063,0.0039,0.0008,0.0154,0.001,0.0003,0.0004,0.1962,0.1999,0.0009,0.0101
ENMF,0.0142,0.007,0.0004,0.0204,0.0021,0.0005,0.0008,0.0481,0.0167,0.0009,0.0109
DMF,0.025,0.0147,0.0003,0.0462,0.0015,0.0003,0.0008,0.1855,0.1891,0.0006,0.0155
NNCF,0.025,0.015,0.0008,0.0457,0.0006,0.0002,0.0002,0.184,0.1924,0.0009,0.0151
MultiDAE,0.0217,0.0153,0.0014,0.0482,0.0007,0.0006,0.0006,0.1885,0.2018,0.0011,0.0211
MultiVAE,0.0252,0.0152,0.0016,0.0476,0.0016,0.001,0.0005,0.1966,0.193,0.0011,0.0218
NCEPLRec,0.0038,0.0014,0.0011,0.0008,0.0005,0.0004,0.0003,0.0844,0.1728,0.0009,0.0024
RecVAE,0.0241,0.0188,0.0015,0.0402,0.0005,0.001,0.0005,0.1938,0.2228,0.0011,0.0225
CDAE,0.0007,0.0157,0.0007,0.0463,0.0036,0.0008,0.0012,0.1015,0.175,0.0009,0.0164
LINE,0.003,0.0045,0.0008,0.0175,0.0007,0.0003,0.0005,0.1775,0.1792,0.0008,0.0092
SGL,0.0075,0.0134,0.0018,0.0349,0.0014,0.0007,0.0006,0.1993,0.2061,0.0014,0.0177
DiffRec,0.0219,0.0142,0.0014,0.044,0.0021,0.0006,0.0007,0.2097,0.2287,0.0009,0.0189
RaCT,0.0212,0.0196,0.0016,0.048,0.0026,0.0015,0.0013,0.2001,0.1876,0.0013,0.0219
SimpleX,0.0023,0.0013,0.0013,0.0181,0.0002,0.0008,0.0005,0.1948,0.1916,0.0009,0.0162
