ID,Random,Pop,ItemKNN,BPR,ENMF,DMF,NNCF,MultiDAE,MultiVAE,NCEPLRec,RecVAE,CDAE,LINE,SGL,DiffRec,RaCT,SimpleX
Subscription_Boxes,0.0062,0.039,0.0416,0.0231,0.0564,0.1325,0.1344,0.1227,0.1264,0.0192,0.0995,0.0009,0.0093,0.0228,0.1239,0.0967,0.0056
Magazine_Subscriptions,0.0009,0.042,0.02,0.0161,0.0217,0.0546,0.0511,0.0469,0.0463,0.0071,0.0747,0.0559,0.016,0.0457,0.0531,0.0763,0.0038
Digital_Music,0,0.0014,0.0035,0.0032,0.0019,0.0008,0.0038,0.0086,0.0092,0.0049,0.006,0.0017,0.0035,0.0095,0.0052,0.0087,0.005
Gift_Cards,0.0024,0.0966,0.0261,0.0534,0.0778,0.1926,0.1922,0.2314,0.2258,0.0023,0.1932,0.1945,0.072,0.156,0.1905,0.2012,0.0761
Health_and_Personal_Care,0,0.0112,0.0046,0.0034,0.0071,0.0067,0.0025,0.003,0.0063,0.0021,0.0019,0.0103,0.0033,0.0058,0.0075,0.0096,0.0006
Handmade_Products,0,0.0029,0.0032,0.0012,0.0018,0.0009,0.0006,0.003,0.005,0.0025,0.0051,0.0029,0.0012,0.0033,0.0026,0.0068,0.0033
All_Beauty,0,0.0052,0.0015,0.0016,0.0029,0.0022,0.0007,0.0027,0.0024,0.0016,0.0018,0.0047,0.0018,0.0023,0.0023,0.0059,0.0018
ml-100k,0.0157,0.1979,0.4623,0.4895,0.1206,0.4445,0.4577,0.4735,0.4909,0.2843,0.4924,0.2819,0.4343,0.4837,0.5242,0.4882,0.4647
ml-1m,0.0143,0.2492,0.4467,0.4439,0.0436,0.4175,0.4322,0.4534,0.434,0.4402,0.4889,0.4072,0.4142,0.4653,0.506,0.424,0.4438
epinions,0.0001,0.0029,0.0014,0.0068,0.0043,0.0019,0.0069,0.0076,0.0079,0.0038,0.0076,0.0034,0.0062,0.0084,0.004,0.0082,0.0065
ModCloth,0.0019,0.0233,0.053,0.0429,0.0443,0.0563,0.0561,0.0921,0.0943,0.0162,0.098,0.0597,0.0401,0.0765,0.0811,0.094,0.0746
