ID,Random,Pop,ItemKNN,BPR,ENMF,DMF,NNCF,MultiDAE,MultiVAE,NCEPLRec,RecVAE,CDAE,LINE,SGL,DiffRec,RaCT,SimpleX
Subscription_Boxes,0.0017,0.0161,0.0166,0.0063,0.0142,0.025,0.025,0.0217,0.0252,0.0038,0.0241,0.0007,0.003,0.0075,0.0219,0.0212,0.0023
Magazine_Subscriptions,0.0003,0.0105,0.0069,0.0039,0.007,0.0147,0.015,0.0153,0.0152,0.0014,0.0188,0.0157,0.0045,0.0134,0.0142,0.0196,0.0013
Digital_Music,0,0.0005,0.001,0.0008,0.0004,0.0003,0.0008,0.0014,0.0016,0.0011,0.0015,0.0007,0.0008,0.0018,0.0014,0.0016,0.0013
Gift_Cards,0.0008,0.0329,0.0129,0.0154,0.0204,0.0462,0.0457,0.0482,0.0476,0.0008,0.0402,0.0463,0.0175,0.0349,0.044,0.048,0.0181
Health_and_Personal_Care,0,0.0036,0.0007,0.001,0.0021,0.0015,0.0006,0.0007,0.0016,0.0005,0.0005,0.0036,0.0007,0.0014,0.0021,0.0026,0.0002
Handmade_Products,0,0.0009,0.0009,0.0003,0.0005,0.0003,0.0002,0.0006,0.001,0.0004,0.001,0.0008,0.0003,0.0007,0.0006,0.0015,0.0008
All_Beauty,0,0.0013,0.0004,0.0004,0.0008,0.0008,0.0002,0.0006,0.0005,0.0003,0.0005,0.0012,0.0005,0.0006,0.0007,0.0013,0.0005
ml-100k,0.0058,0.0828,0.1931,0.1962,0.0481,0.1855,0.184,0.1885,0.1966,0.0844,0.1938,0.1015,0.1775,0.1993,0.2097,0.2001,0.1948
ml-1m,0.0049,0.1025,0.1986,0.1999,0.0167,0.1891,0.1924,0.2018,0.193,0.1728,0.2228,0.175,0.1792,0.2061,0.2287,0.1876,0.1916
epinions,0,0.0007,0.0003,0.0009,0.0009,0.0006,0.0009,0.0011,0.0011,0.0009,0.0011,0.0009,0.0008,0.0014,0.0009,0.0013,0.0009
ModCloth,0.0007,0.0074,0.0132,0.0101,0.0109,0.0155,0.0151,0.0211,0.0218,0.0024,0.0225,0.0164,0.0092,0.0177,0.0189,0.0219,0.0162
